indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
percentage of terrestrial ecoregions covered by protected areas,IPBES_GA_3_72_395;IPBES_GA_3_72_395;IPBES_GA3_sup_42;IPBES_GA3_sup_44,IPBES,0,ecosystems,NA,Area conservation,NA
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,GEO,0,Direct drivers,NA,Pollution,NA
percentage of the population in traditional occupations,GBF_T9_H_28,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA
percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded,CITES_G3.3.2_27,CITES,1,Governance,NA,Nature-based funding,NA
percentage of threatened species that are improving in status,GBF_GA_CY_35;GBF_T4_CY_149,GBF,1,biodiversity,NA,Species conservation,Change in biodiversity
percentage of undernourished people,IPBES_GA_1_52_19,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions
permafrost temperature,IPCC_2_62_101,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
"permafrost thickness, depth and extent",GBF_GA_CY_7,GBF,1,ecosystems,NA,State of ecosystems,NA
permafrost-vegetation relationships,IPCC_2_62_100,IPCC,0,ecosystems,NA,Abiotic conditions,NA
permanent surface water extent,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_18,IPBES,0,ecosystems,NA,Abiotic conditions,NA
"pest, invasive or harmful species",IPBES_GA_4_34_176,IPBES,0,Direct drivers,NA,Invasive alien species,NA
pesticide use,IPBES_GA_3_51_381;IPBES_GA_3_54_387;IPBES_GA2.1_sup_42;IPBES_GA3_sup_31,IPBES,0,Direct drivers,NA,Pollution,NA
pesticide use per area of cropland,GBF_T7_CY_180,GBF,1,Direct drivers,NA,Pollution,NA
ph and desoxygenation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
ph of ocean surface water,IPCC_1_32_16,IPCC,0,ecosystems,NA,State of ecosystems,NA
phenology of economically and/or culturally important wild plant and animal species,IPBES_GA_2.3_40_140,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
phenology of marine biota,IPCC_2_26_47,IPCC,0,biodiversity,NA,State of biodiversity,NA
phosphorus (p) loads,IPBES_GA_3_74_399,IPBES,0,Direct drivers,NA,Pollution,NA
photo series analysis using social media,IPBES_VA_3_48_73,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
photo-rankings,IPBES_VA_2_38_28,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
phylogenetic distance,IPBES_IAS_3_84_95,IPBES,0,biodiversity,NA,Genetic diversity,NA
phylogenetic diversity,IPBES_GA_2.3_42_143,IPBES,0,biodiversity,NA,Genetic diversity,NA
phytoplankton abundance,IPCC_2_74_118,IPCC,0,biodiversity,NA,State of biodiversity,NA
phytoplankton community structure,IPCC_2_75_119,IPCC,0,biodiversity,NA,State of biodiversity,NA
piped drinking water,GEO_22_21_257,GEO,0,Human well-being,NA,Healthy living conditions,NA
planck temperature response,IPCC_7_56_335,IPCC,0,ecosystems,NA,Abiotic conditions,NA
planetary pressures adjusted human development index (hdi),IPBES_VA_2_38_29,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
plant water use efficiency (wue),IPCC_8_65_401,IPCC,0,Ecosystem services,NA,Nature contribution,NA
plastic debris density,GBF_T7_C_38;GBF_T7_CY_176;SDG_G14.1.1.b_184;GEO_7_19_66;GEO_14_15_152;GEO_14_15_154;GEO_20_8_234;IPBES_SUA_sup_14.1.1.b_111,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity)
pm 10 emissions,GEO_20_6_228,GEO,0,Direct drivers,NA,Pollution,NA
pm 2.5 emissions,GEO_20_6_228,GEO,0,Direct drivers,NA,Pollution,NA
pm2.5 emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA
polar ice sheets,GEO_4_13_34,GEO,0,ecosystems,NA,State of ecosystems,NA
poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390,IPCC,0,ecosystems,NA,Abiotic conditions,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,IPBES_GA_1_52_19,IPBES,0,Governance,NA,Nature-based legislation,NA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,IPBES_GA_1_52_19,IPBES,0,Governance,NA,Nature-based legislation,NA
political stability and absence of violence/terrorism,IPBES_GA2.1_sup_67,IPBES,0,Governance,Human well-being,Legislation/governance,Wellness
pollen deposition,IPBES_GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems,NA
pollen presence,IPCC_2_24_46;IPCC_2_62_100,IPCC,0,ecosystems,NA,State of ecosystems,NA
pollinator diversity,IPBES_GA_2.3_2_125;IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA
population density,IPBES_GA2.1_sup_21,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
population extinctions,IPBES_GA_2.3_75_161,IPBES,0,biodiversity,NA,Change in biodiversity,NA
population growth (annual percentage),IPBES_GA2.1_sup_20,IPBES,0,biodiversity,NA,Change in biodiversity,NA
population in megacities,IPBES_GA2.1_sup_28,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
population in the largest city,IPBES_GA2.1_sup_27,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
population involved in hunting and gathering,GBF_GB_CY_76,GBF,1,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution
population size,IPBES_GA_2.3_40_140;IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
population-weighted annual mean concentration of pm2.5,GEO_12_15_115,GEO,0,Direct drivers,NA,Pollution,NA
population-weighted ozone concentrations,IPCC_6_73_321,IPCC,0,Direct drivers,NA,Pollution,NA
population-weighted pm2.5 concentrations,IPCC_6_73_321,IPCC,0,Direct drivers,NA,Pollution,NA
position of 15n atom in atmospheric n2o,IPCC_5_36_279,IPCC,0,Direct drivers,NA,Climate change,NA
positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,GBF,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related aichi target 18 of the strategic plan for biodiversity,RAMSAR_SG3.10_35,RAMSAR,1,Knowledge systems,NA,Specific information on ILK and IPLC,NA
potential evaporation anomalies,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA
"potential evaporation, evaporative demand drought index",IPCC_sup_35,IPCC,0,ecosystems,NA,Abiotic conditions,NA
poverty,GEO_3_5_16,GEO,0,Human assets,Human well-being,State of economy,Healthy living conditions
poverty gap,IPBES_GA2.1_sup_3,IPBES,0,Human assets,Human assets,Coverage of basic needs,Income
power dissipation index,IPCC_9_104_471;IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitable water vapour,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation,IPCC_2_26_47;IPCC_3_8_164;IPCC_8_28_370,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation deciles and percentiles,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation index,IPCC_4_8_221,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation intensity-duration thresholds,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA
precipitation-evaporation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
predatory fish biomass,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_74,IPBES,0,biodiversity,NA,State of biodiversity,NA
premature deaths,GEO_5_19_45,GEO,0,Human well-being,NA,Healthy living conditions,NA
premature deaths in 2016 to household air pollution,GEO_5_19_45,GEO,0,Human well-being,Direct drivers,Healthy living conditions,Pollution
presence of regulations requiring recovery of depleted species,IPBES_GA_1_52_19,IPBES,0,Governance,biodiversity,Nature-based legislation,Species conservation
presense of endemic species,GEO_13_18_135,GEO,0,biodiversity,NA,State of biodiversity,NA
pressure ozone trend,GEO_5_17_42,GEO,0,ecosystems,NA,Abiotic conditions,NA
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
prevalence of certain species,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,NA,ILK,NA
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF;SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
prevalence of obesity in the adult population (18 years and older),IPBES_GA2.1_sup_9,IPBES,0,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,SDG_G2.2.1_16;IPBES_SUA_sup_2.2.1_14,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
prevalence of undernourishment,SDG_G2.1.1_14;IPBES_SUA_sup_2.1.1_12,SDG;IPBES,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
prevented emissions and uptake of greenhouse gases by ecosystems,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Climate change,NA
prey fish biomass,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_75,IPBES,0,biodiversity,NA,State of biodiversity,NA
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",SDG_G16.6.1_226,SDG,1,Human assets,Governance,State of economy,Legislation/governance
primary production of marine biota,IPCC_2_26_47,IPCC,0,Ecosystem services,NA,Nature contribution,NA
priority retention of intact / wilderness areas,GBF_T1_C_14;GBF_T2_CY_124,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_12;GBF_T19_H_47,GBF,1,Governance,NA,Nature-based funding,NA
pro-poor public social spending,SDG_G1.b.1_13;IPBES_SUA_sup_1.b.1_11,SDG;IPBES,1,Human assets,NA,State of economy,NA
processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,GBF_GB_CY_88,GBF,1,Human well-being,Governance,Healthy living conditions,Legislation/governance
production,IPBES_GA_4_34_176,IPBES,0,Ecosystem services,NA,Nature contribution,NA
production of fuelwood,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
profile of effective radiative forcing (erf),IPCC_7_90_359,IPCC,0,ecosystems,NA,Abiotic conditions,NA
progress towards sustainable forest management,GBF_T10_H_31;SDG_G15.2.1_196;IPBES_SUA_sup_15.2.1_123,GBF;SDG;IPBES,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation
projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",SDG_G8.7.1_108;IPBES_SUA_sup_8.7.1_52,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SDG_G8.10.2_114;IPBES_SUA_sup_8.10.2_56,SDG;IPBES,1,Human assets,NA,State of economy,NA
