odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,peatland extent and condition,GBF_GA_CY_6,GBF,1,ecosystems,State of ecosystems (coverage),NA,NA,GBF
,penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,people in proximity to parks or natural areas,IPBES_GA2.3_sup_250,IPBES,0,Human well-being,Healthy living conditions,NA,Recreation,IPBES
,people per ouletlet mcdonals,IPBES_GA2.1_sup_19,IPBES,0,Knowledge systems,Infrastructure (build-up area),NA,NA,IPBES
,peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,IPBES
,per capita consumption,GA_2_22_28,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,percent of land and seas covered by biodiversity-inclusive spatial plans,NA,NA,NA,ecosystems,Area conservation,NA,NA,GBF
,percent of total land area that is under cultivation,GBF_T1_CY_110,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,percentage change in local species richness,IPBES_GA3_sup_55,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,1,biodiversity,Change in biodiversity,,,
,percentage of abroad land use footprint,GA_2_118_47,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,percentage of agricultural and urban areas,GA_2_118_47,IPBES,0,Human assets,Information on society and socio-economics,NA,NA,IPBES
,percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_140,GBF,1,Governance,Nature-based legislation,ecosystems,Area conservation,GBF
,percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,1,Direct drivers,(Infectious) diseases,NA,NA,SDG
,"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,1,Governance,Nature-based funding,,,
,percentage of countries that are category 1 cites parties,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_9,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,percentage of countries with invasive alien species legislation,GA_3_72_395;IPBES_GA3_sup_35,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_226,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_121,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,IPBES
,percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,1,ecosystems,Area conservation,,,
,percentage of live coral cover,GA_2.2_70_120;GA_3_34_361,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,percentage of marine and coastal areas covered by protected areas,NA,NA,NA,ecosystems,Area conservation,NA,NA,IPBES
,percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,IPBES_GA2.3_sup_233,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,percentage of new drugs discovered over the last 30 years based on natural medicinal products,IPBES_GA2.3_sup_226,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,1,ecosystems,Change in biodiversity,Direct drivers,Invasive alien species,
,percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,1,Governance,Nature-based legislation,,,
,percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,1,Governance,Nature-based legislation,ecosystems,Area conservation,
,percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,1,Governance,National/international cooperation,ecosystems,Area conservation,
,percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,1,Knowledge systems,Information on biodiversity,Governance,National/international cooperation,
,percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,1,Knowledge systems,Information on biodiversity,Governance,National/international cooperation,
,"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,1,Governance,National/international cooperation,,,
,percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,1,ecosystems,Change in ecosystems,,,
,percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,1,Knowledge systems,Specific information on ILK and IPLC,Governance,National/international cooperation,
,percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,,,
,percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,1,Governance,Nature-based legislation,,,
,percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,1,Governance,Nature-based legislation,,,
,percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,,,
,percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,1,Knowledge systems,Information on biodiversity,,,
,percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,1,Governance,National/international cooperation,,,
,percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,1,Governance,Nature-based legislation,,,
,percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,1,Governance,National/international cooperation,,,
,percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,1,Governance,Nature-based legislation,Direct drivers,Invasive alien species,
,percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,1,ecosystems,Restoration efforts,,,
,percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,1,ecosystems,Restoration efforts,,,
,percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,1,Human well-being,Healthy living conditions,,,
,percentage of parties that have included wetland issues into national strategies and in the planning processes such as for water resource management and water efficiency plans,RAMSAR_SG1.2_4,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific monetary valuation of nature contribution,
,percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,1,Governance,Nature-based legislation,Human well-being,Healthy living conditions,
,percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,1,Governance,National/international cooperation,,,
,percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,1,Knowledge systems,Information on biodiversity,Ecosystem services,Nature contribution,
,percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,1,Knowledge systems,Information on biodiversity,Governance,Nature-based legislation,
,percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,1,Governance,Nature-based funding,,,
,percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,1,ecosystems,State of ecosystems (integrity),,,
,percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,1,Knowledge systems,Information on biodiversity,,,
,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_T17_CY_223,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_T17_CY_225,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,RAMSAR_OG4.18_67,RAMSAR,1,Governance,National/international cooperation,,,
,percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,RAMSAR_OG4.16_55,RAMSAR,1,Governance,National/international cooperation,,,
