indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
maps showing areas where humans mostly rely national medicines policies for health,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
biodiversity intactness index (for plants and vertebrates),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
"care, mental health, cultural security, life-satisfaction",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Human well-being,Healthy living conditions,Wellness
diversity and economic value of bioinspired production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
areas including all uoa where people mainly rely on nature for their well being,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Ecosystem services,Recreation,Nature contribution
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,ILK,NA
human mobility to access different natural habitats for outdoor recreation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Recreation,NA
indirect access to natural products from natural habitats,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
creation of new rural urban network,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
visitation rates of parks,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,Human well-being,Nature contribution,NA
people in proximity to parks or natural areas,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,Recreation
indigenous lands,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,ecosystems,ILK,State of ecosystems
green space in cities,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
area of natural and traditional landscapes and seascapes,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
"number of protected areas, parks and gardens",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
"visitation rate to natural terrestrial, coastal and marine areas",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,Knowledge systems,Broken governance,Information on society and socio-economics
"increased awareness, care, mental health, cultural security, life-satisfaction",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,Wellness
abundance of slowly changing ecosystems (time past last land use change),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,NA
identity value,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Equity,NA
happyness,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Wellness,NA
quantitative genetic variation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
phenotypic variation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
neutral variation (markers not linked to traits under selection),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,Genetic diversity
non-neutral variation (markers linked to traits under selection),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
phylogenetic variation (of genes or populations within species),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
demographic variation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Cultural diversity,NA
"functional diversity (fd), rarity, redundancy, vulnerability",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
community-weighted mean trait value (cwm),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
phylogenetic diversity (pd),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
overdisperion/ underdispersion,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species
taxonomic diversity and distinctness,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
number of species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
equitability (commonness and rareness),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
species abundance distribution,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
endemism (% endemics in community),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
emergence (shannon’s information),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
genetic variation (self-organization),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (complexity),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (homeostasis),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (hamming distance),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (dissimilarity),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
genetic variation (cohesion),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
"genetic variation (connectance, numbers of links by the number of nodes)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
betadiversity (species turnover),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
gamma diversity (total diversity of species in a landscape),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
genetic variation (nestedness),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
phylogenetic betadiversity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
phylogenetic structure of a community,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
trait convergence assembly pattern (tcap),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
trait divergence assembly pattern (tdap),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
functional betadiversity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
loss of species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
biodiversity barometer (% of respondents that have heard of biodiversity),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
biodiversity barometer (% of respondents giving correct definition of biodiversity),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding towards environmental education,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
online interest in biodiversity (proportion of google searches),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding towards environmental impact assessment,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
number of research studies involving economic valuation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
world trade organisation greenbox agricultural subsidies,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based funding,NA
funding towards institutional capacity building in fisheries,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based funding,NA
percentage of countries that are category 1 cites parties,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
human appropriation of fresh water (water footprint) (thousand km3),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
marine stewardship council certified fisheries,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
red list index (impacts of fisheries),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
global effort in bottom-trawling,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
nitrogen use balance,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,NA,Pollution,NA
wild bird index (farmland birds),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
area of agricultural land under conservation agriculture,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,Direct drivers,Area conservation,Land conversion
nitrogen surplus (tg n),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
percentage of countries with invasive alien species legislation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
glacial mass balance,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
mean polar sea ice extent,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
climatic impact index for birds,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Direct drivers,biodiversity,Climate change,Change in biodiversity
percentage of marine and coastal areas covered by protected areas,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of terrestrial ecoregions covered by protected areas,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of marine ecoregions covered by protected areas,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
"protected area coverage of bird, mammal and amphibian distributions",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,biodiversity,Area conservation,State of biodiversity
number of protected area management effectiveness (pame) assessments,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,ecosystems,NA,Area conservation,NA
funding towards nature reserves,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
funding towards species protection,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
percentage of terrestrial domesticated animal breeds at risk,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Species conservation,NA
percentage change in local species richness,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
percentage of global rural population with access to improved water resources,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
percentage of countries that have ratified the nagoya protocol,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
percentage of countries with revised nbsaps,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
number of biodiversity papers published,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
funding committed to environmental research,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
funding provided by the global environment facility,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
official development assistance provided in support of the cbd objectives,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,NA,Legislation/governance,NA
"global funding committed towards environmental policy, laws, regulations and economic instruments",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of people who died or disappeared in the process of migration towards an international destinationi,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Broken governance,NA
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,State of economy,NA
degree of sustainable public procurement policies and action plan implementation,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
human development index (hdi),1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
inclusive wealth,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human assets,NA,Income,NA
gross national happiness index,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Wellness,NA
water footprint,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
trends in forest extent,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
total wood removals,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
estimated fisheries catch and fishing effort,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
inland fishery production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
proportion of area of forest production under fsc and pefc certification,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,Governance,Nature contribution,Nature-based legislation
nitrogen use efficiency,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
trends in pesticide use,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
protected area coverage,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of undernourished people,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions
number of countries with developed or revised nbsaps,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
number of countries with national instruments on redd plus schemes,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
trends in potentially harmful elements of government support to agriculture (produced support estimates),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature detrimental legislation,NA
trends in potentially harmful elements of government support to fisheries,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature detrimental legislation,NA
number of countries with national instruments on biodiversity relevant tradable permit schemes,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
trend in carbon intensity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
global climate risk index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
number and coverage of stocks with adaptive management systems/plans,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
presence of regulations requiring recovery of depleted species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,biodiversity,Nature-based legislation,Species conservation
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Nature-based legislation,NA
coverage of fisheries with management measures to reduce bycatch and discards,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
mean length of fish,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
biotime-local species richness,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
temporal species turnover,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
overall species abundance,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
non declining exploited species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,Direct drivers,Nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
number of world natural heritage sites per country per year,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,Knowledge systems,Nature-based legislation,Information on society and socio-economics
area of agricultural land under conservation,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Direct drivers,Area conservation,Land conversion
trends in the numbers of invasive alien species introduction events,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Invasive alien species,NA
trends in invasive alien species vertebrate eradications,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,Direct drivers,Nature-based legislation,Invasive alien species
"protected area coverage of terrestrial, marine and freshwater ecoregions",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Area conservation,NA
protected area representativeness index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Governance,Area conservation,Nature-based legislation
wildlife picture index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
number of species extinctions,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,biodiversity,NA,Change in biodiversity,NA
better life index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,Human well-being,Healthy living conditions,Wellness
percentage of population using safely managed drinking water services,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
land under cereal production (ha),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
global linguistic diversity index and language threat level,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Specific information on ILK and IPLC,NA
species represented in the barcode of life data system,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,Genetic resources,NA
"information provided through the financial reporting framework, adopted by decision xii/3",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Governance,NA,Legislation/governance,NA
child mortality,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
caloric intake,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
per capita consumption,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
value of merchandise being exported,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,NA,Income,NA
mortality rate under 5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
